SplitIndex,Left_Child,Right_Child,SplitEntropy,Counter
"[1.0369375321912813, 1.1522460232150684]","['Others', 'Visa']","['American Express', 'Discover', 'MasterCard']",1.070838229,2
"[1.1522460232150684, 1.0369375321912813]","['American Express', 'Discover', 'MasterCard']","['Others', 'Visa']",1.070838229,3
"[1.1167776104815863, 1.018286062470057]","['American Express', 'Discover']","['MasterCard', 'Others', 'Visa']",1.070880549,2
"[1.018286062470057, 1.1167776104815863]","['MasterCard', 'Others', 'Visa']","['American Express', 'Discover']",1.070880549,3
"[1.0468094317797334, 1.1479670231237966]",['Visa'],"['American Express', 'Discover', 'MasterCard', 'Others']",1.072038135,1
"[1.1479670231237966, 1.0468094317797334]","['American Express', 'Discover', 'MasterCard', 'Others']",['Visa'],1.072038135,4
"[1.1085058090287196, 0.973200661032307]",['Discover'],"['American Express', 'MasterCard', 'Others', 'Visa']",1.072135785,1
"[0.973200661032307, 1.1085058090287196]","['American Express', 'MasterCard', 'Others', 'Visa']",['Discover'],1.072135785,4
"[1.0351668498221591, 1.1109476274999246]","['MasterCard', 'Visa']","['American Express', 'Discover', 'Others']",1.072253962,2
"[1.1109476274999246, 1.0351668498221591]","['American Express', 'Discover', 'Others']","['MasterCard', 'Visa']",1.072253962,3
"[1.1269534892368755, 1.0203280170186693]","['Discover', 'MasterCard']","['American Express', 'Others', 'Visa']",1.072702449,2
"[1.0203280170186693, 1.1269534892368755]","['American Express', 'Others', 'Visa']","['Discover', 'MasterCard']",1.072702449,3
"[1.0725070489912254, 1.075008859357403]",['American Express'],"['Discover', 'MasterCard', 'Others', 'Visa']",1.073000406,1
"[1.075008859357403, 1.0725070489912254]","['Discover', 'MasterCard', 'Others', 'Visa']",['American Express'],1.073000406,4
"[1.1034337362362638, 1.007246961317521]","['Discover', 'Others']","['American Express', 'MasterCard', 'Visa']",1.073288801,2
"[1.007246961317521, 1.1034337362362638]","['American Express', 'MasterCard', 'Visa']","['Discover', 'Others']",1.073288801,3
"[1.0348662734428489, 1.1211075887224382]","['American Express', 'Visa']","['Discover', 'MasterCard', 'Others']",1.073381645,2
"[1.1211075887224382, 1.0348662734428489]","['Discover', 'MasterCard', 'Others']","['American Express', 'Visa']",1.073381645,3
"[1.0689643982639212, 1.174264078521314]",['Others'],"['American Express', 'Discover', 'MasterCard', 'Visa']",1.073660764,1
"[1.174264078521314, 1.0689643982639212]","['American Express', 'Discover', 'MasterCard', 'Visa']",['Others'],1.073660764,4
"[1.065626118599882, 1.0992153713223232]","['American Express', 'Others']","['Discover', 'MasterCard', 'Visa']",1.073748,2
"[1.0992153713223232, 1.065626118599882]","['Discover', 'MasterCard', 'Visa']","['American Express', 'Others']",1.073748,3
"[1.0738266333163597, 1.0739768609820293]","['American Express', 'MasterCard']","['Discover', 'Others', 'Visa']",1.073892313,2
"[1.0739768609820293, 1.0738266333163597]","['Discover', 'Others', 'Visa']","['American Express', 'MasterCard']",1.073892313,3
"[1.0686782222097913, 1.087853923191551]","['MasterCard', 'Others']","['American Express', 'Discover', 'Visa']",1.074135627,2
"[1.087853923191551, 1.0686782222097913]","['American Express', 'Discover', 'Visa']","['MasterCard', 'Others']",1.074135627,3
"[1.0852881500406055, 1.0638912768034012]","['Discover', 'Visa']","['American Express', 'MasterCard', 'Others']",1.07420029,2
"[1.0638912768034012, 1.0852881500406055]","['American Express', 'MasterCard', 'Others']","['Discover', 'Visa']",1.07420029,3
"[1.0760277584181488, 1.069359232936541]",['MasterCard'],"['American Express', 'Discover', 'Others', 'Visa']",1.074427312,1
"[1.069359232936541, 1.0760277584181488]","['American Express', 'Discover', 'Others', 'Visa']",['MasterCard'],1.074427312,4
