SplitIndex,Left_Child,Right_Child,SplitEntropy,Counter
"[1.0516215330913017, 1.106818019118475]","['Agriculture', 'Sales']","['Crafts', 'Labor', 'Missing', 'Professional', 'Service']",1.072011115,2
"[1.106818019118475, 1.0516215330913017]","['Crafts', 'Labor', 'Missing', 'Professional', 'Service']","['Agriculture', 'Sales']",1.072011115,5
"[1.0308769235107282, 1.1204722327452645]","['Agriculture', 'Crafts', 'Sales']","['Labor', 'Missing', 'Professional', 'Service']",1.072072847,3
"[1.1204722327452645, 1.0308769235107282]","['Labor', 'Missing', 'Professional', 'Service']","['Agriculture', 'Crafts', 'Sales']",1.072072847,4
"[1.0539185960148778, 1.1027261973336537]","['Agriculture', 'Missing', 'Sales']","['Crafts', 'Labor', 'Professional', 'Service']",1.072094547,3
"[1.1027261973336537, 1.0539185960148778]","['Crafts', 'Labor', 'Professional', 'Service']","['Agriculture', 'Missing', 'Sales']",1.072094547,4
"[1.060824547807569, 1.0830890061851488]","['Agriculture', 'Labor', 'Sales']","['Crafts', 'Missing', 'Professional', 'Service']",1.072103722,3
"[1.0830890061851488, 1.060824547807569]","['Crafts', 'Missing', 'Professional', 'Service']","['Agriculture', 'Labor', 'Sales']",1.072103722,4
"[1.0801497530150346, 1.0637767567882996]","['Crafts', 'Professional', 'Service']","['Agriculture', 'Labor', 'Missing', 'Sales']",1.072120436,3
"[1.0637767567882996, 1.0801497530150346]","['Agriculture', 'Labor', 'Missing', 'Sales']","['Crafts', 'Professional', 'Service']",1.072120436,4
"[1.1171463666766375, 1.0335086018380089]","['Labor', 'Professional', 'Service']","['Agriculture', 'Crafts', 'Missing', 'Sales']",1.072216159,3
"[1.0335086018380089, 1.1171463666766375]","['Agriculture', 'Crafts', 'Missing', 'Sales']","['Labor', 'Professional', 'Service']",1.072216159,4
"[1.0973163471734606, 1.0353672141402663]","['Missing', 'Professional', 'Service']","['Agriculture', 'Crafts', 'Labor', 'Sales']",1.072350847,3
"[1.0353672141402663, 1.0973163471734606]","['Agriculture', 'Crafts', 'Labor', 'Sales']","['Missing', 'Professional', 'Service']",1.072350847,4
"[1.0947928997116794, 1.0388985423848909]","['Professional', 'Service']","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Sales']",1.072435157,2
"[1.0388985423848909, 1.0947928997116794]","['Agriculture', 'Crafts', 'Labor', 'Missing', 'Sales']","['Professional', 'Service']",1.072435157,5
