group_size,homeowner,married_couple,0,1,2,All
1,0,0,25.77841949,59.14609392,15.07548658,100
1,0,1,32.14195822,51.69896803,16.15907375,100
1,1,0,18.02422636,68.6294659,13.34630775,100
1,1,1,22.17152514,62.39966202,15.42881284,100
2,0,0,27.27079345,55.59455435,17.1346522,100
2,0,1,20.55084,64.57929771,14.86986229,100
2,1,0,25.33175503,59.48539032,15.18285465,100
2,1,1,16.0672102,70.20727585,13.72551395,100
3,0,0,27.55905512,66.92913386,5.511811024,100
3,0,1,23.30022918,59.51107716,17.18869366,100
3,1,0,25.99531616,59.48477752,14.51990632,100
3,1,1,26.15787941,56.30643752,17.53568308,100
4,0,0,100,0,0,100
4,0,1,18.75,67.85714286,13.39285714,100
4,1,0,48.48484848,42.42424242,9.090909091,100
4,1,1,33.33333333,53.00546448,13.66120219,100
All,,,21.59958151,64.04624434,14.35417415,100
