ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
63581743,0,16-Mar-39,60,0,11,67000,No,,No,M,PhD,Professional,14,Private,14230,11,Minivan,yes,4461,2,No,3,0,18,0,Highly Urban/ Urban
132761049,0,21-Jan-56,43,0,11,91000,No,257000,No,M,High School,Blue Collar,22,Commercial,14940,1,Minivan,yes,0,0,No,0,0,1,0,Highly Urban/ Urban
921317019,0,18-Nov-51,48,0,11,53000,No,,No,M,Bachelors,Manager,26,Private,21970,1,Van,yes,0,0,No,2,0,10,0,Highly Urban/ Urban
727598473,0,5-Mar-64,35,1,10,16000,No,124000,Yes,F,High School,Clerical,5,Private,4010,4,SUV,no,38690,2,No,3,0,10,0,Highly Urban/ Urban
450221861,0,5-Jun-48,51,0,14,,No,306000,Yes,M,Below High School,Blue Collar,32,Private,15440,7,Minivan,yes,0,0,No,0,0,6,0,Highly Urban/ Urban
743146596,0,17-May-49,50,0,,115000,No,244000,Yes,F,PhD,Doctor,36,Private,18000,1,SUV,no,19217,2,Yes,3,0,17,0,Highly Urban/ Urban
871024631,0,5-May-65,34,1,12,125000,Yes,,No,F,Bachelors,Blue Collar,46,Commercial,17430,1,Sports Car,no,0,0,No,0,2946,7,1,Highly Urban/ Urban
792300541,0,28-Feb-45,54,0,,19000,No,,Yes,F,Below High School,Blue Collar,33,Private,8780,1,SUV,no,0,0,No,0,0,1,0,Highly Urban/ Urban
7945239,1,17-Sep-59,40,1,11,51000,Yes,,No,M,High School,Manager,21,Private,18930,6,Minivan,no,3295,1,No,2,6477,1,1,Highly Urban/ Urban
3577610,0,21-Aug-55,44,2,12,43000,Yes,,No,F,High School,Blue Collar,30,Commercial,5900,10,SUV,no,0,0,No,0,0,10,0,Highly Rural/ Rural
892208080,1,14-Dec-61,37,2,,108000,No,334000,Yes,M,Bachelors,Blue Collar,44,Commercial,16970,1,Van,yes,2374,1,Yes,10,4021,7,1,Highly Urban/ Urban
77382913,0,22-Nov-64,34,0,10,63000,No,,No,F,Bachelors,Clerical,34,Private,11200,1,SUV,no,0,0,No,0,2501,1,1,Highly Urban/ Urban
856886560,0,22-Oct-49,50,0,7,107000,No,,No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,0,0,No,1,0,17,0,Highly Rural/ Rural
308455362,0,25-Dec-45,53,0,14,77000,No,,No,F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,0,0,No,0,6077,11,1,Highly Urban/ Urban
989828809,0,19-Jun-56,43,0,5,53000,No,210000,Yes,F,Masters,Professional,36,Private,22420,7,Minivan,no,0,0,No,0,0,1,0,Highly Rural/ Rural
376482434,0,3-Mar-44,55,0,11,59000,No,180000,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,5028,2,Yes,3,0,9,0,Highly Urban/ Urban
665591504,0,19-Jul-46,53,0,11,131000,No,,No,M,PhD,Unknown,64,Commercial,28340,6,Panel Truck,yes,0,0,No,3,1267,10,1,Highly Urban/ Urban
713692930,0,17-Aug-64,35,2,,21000,Yes,,No,M,High School,Clerical,74,Private,9230,6,Pickup,no,0,0,Yes,0,0,4,0,Highly Rural/ Rural
